Adna Sentral / Rebo
Aguaria / Pelangi
Aneka Usaha / WeCare
Arta Boga / Tango
Bangkit Maju / Larutan Badak
Bina San / Nutrisari
Bukit Inti / Sunco
Cahaya Agung / Kino
Fastrata / Relaxa
Distribusi Surya / Barus
Eka Jaya / Dee Dee
Eka Jaya / Vitalis
Fastrata / Relaxa
Gemilang Abadi / Le Minerale
Godrej
Grasia Timor / Lasegar
Gunung Slamet / Poci
Hemart / Fitri / ForVita
Kartini Teh / Dandang
Kecap Koki
Kompas / Padimas
Langgeng Jaya / Kaki Tiga
Langgeng Jaya / Shinzui
Lestari Alam / Nissin
Makmur Abadi / Dua kelinci 
Makmur Abadi / Dunia/uleg
Makmur Abadi / Regal
Mega Makmur / Cimory
Mega Makmur / KAO
Mitra Sehati / Adem Sari
Mitra Sehati / Yupi
Niaga Jaya / Detol
Pandowo Utomo / Katom
Pelita Hati / Biskuit
Pelita Hati / Energen
Pelita Hati / Sweets
Restu Mart
Sampurno Abadi / Tissue Green
So Good
Supralita / Chacha
Supralita / Garnier
Supralita / Inaco / Johnson Baby
Supralita / Mixagrip
Supralita / Sensodyne
Tempo / My Baby – Hemav
Terang Abadi / Cussons
Tigaraksa / SGM
Tigaraksa / Yupi
Tong Tji
Tri Usaha / Sweety
Ultrajaya / Ultramilk
Unirama / Cap Lang
Unirama / Cho Cho
Unirama / Paseo
Untung Jaya / Baygon
Usaha Jaya / Vape
Esse
Bumbu
Eka Jaya / mamamia
Pelita hati /Migelas
Gemilang Abadi / Oreo
Mitragemilang / Pocari Sweat
GRasia Timor / Padamu 
Gemilang Abadi/ Bendera
Gemilang Abadi/ Ladaku/piattos
Gemilang Abadi /Anget sari
Mitra sehati sekata/anline
Abadi Niaga / Wong coco
Ajinomoto
Arta Boga / Baterai
Arta Boga / Milkido
Bintang Toedjoeh
Cahaya Agung / Wall’s
Citra Sari / Pia
Dagangan
Danar Jaya / Beras
Davos
Enseval
Garam Jempol
Garam Kasar
Gas Merah
Gula Batok
Harlie / Lapis Legit
Javaprima / Kopi Luwak
Javas Tripta / Madu TJ
Kacang Oven / AMH
Krupuk Petis
Medika Nitra / JF Sulfur
Minyak Gembes
Nusantara Makmur / Madu
P&G / Downey
Pak Haris
Parama / Wardah
Sinar Niaga / Gery
Sumber Mulia / Lampu
Taruna Kusuma / Selection
Tegar Jaya / Bu Ana
Telur
Tembakau
Tuberkita / Kusuka
Tumbakmas / Sasa
ULA
Ulam Tiga / Marimas
Unirama / Selera Pedas
Wareng
Wijaya / Bandulan
Beras Fortune
Tanobel / Cleo
Ud Makin Jaya/ Gatsby
Kerupuk Selera
Saos ABC Terasi
Al Madinah/Parfum
Mitra Anugrah Mandiri/Superior
Kopiko
Bintang Sidoraya / Aqua
CocaCola
Dadi Maju / Sido Muncul
Fastrata / Kapal Api
Gas Ijo
Gawih Jaya / Diplomat
Gulaku
HM Sampoerna
Indomarco / Beverages
Indomarco / Food
Intidaya / Care
Intidaya / Food
Intidaya / Modern
Kampak Plastik
Kuda Piala
Makmur Abadi / Nestle
Mekar / Unilever
Moto Mobil
Multi Makmur /Lemonilo
Nabati
Niaga Abadi / Clas Mild
Sukun
Sumber Cipta / Djarum
Surya Madistrindo / Gudang Garam
Surya Mustika / APACHE
Wahyu Jaya / Aqua
Yakult
Bandul Kepyur
citra pangan /khongguan
Hydro Coco
BATERAI ABC/KRATINDAENG
